Size (Kb),Time (s),Throughput (Kb/s)
0.024,0.000940426,25.52034929
0.052,0.000784684,66.26871454
0.022,0.000888288,24.76674232
0.023,0.000770737,29.84156723
0.025,0.00076169,32.82175163
0.062,0.000781507,79.33390232
0.036,0.000735671,48.93491792
0.021,0.0007672,27.37226277
0.037,0.000725462,51.00198219
0.043,0.000824638,52.14409232
0.022,0.000768272,28.63569153
0.021,0.000753124,27.88385445
0.029,0.00074029,39.17383728
0.022,0.000720943,30.51558861
0.02,0.000833685,23.98987627
0.024,0.00079332,30.25260929
0.026,0.000833024,31.21158574
0.024,0.000737635,32.53641706
0.074,0.000741893,99.74484191
0.059,0.000756661,77.97415223
0.038,0.000814589,46.64929185
0.03,0.000777499,38.58525863
0.053,0.000773863,68.48757467
0.03,0.000761139,39.41461415
0.02,0.000839787,23.81556276
0.021,0.000762852,27.52827547
0.021,0.00081507,25.76465825
0.021,0.000768904,27.31160197
0.034,0.000670789,50.68657954
0.051,0.000753816,67.65576746
0.034,0.000771248,44.08439309
0.026,0.000755549,34.41206328
0.037,0.000758183,48.80088316
0.04,0.001042408,38.37269092
0.074,0.000727977,101.6515632
0.024,0.00085267,28.1468798
0.03,0.000757763,39.59021488
0.108,0.000762321,141.6726025
0.024,0.000810792,29.60068674
0.023,0.000774364,29.70179399
0.022,0.000751761,29.26462001
0.045,0.000754827,59.61630943
0.034,0.000756029,44.97181986
0.044,0.000765898,57.44890312
0.017,0.000740801,22.94813317
0.017,0.000769595,22.0895406
0.028,0.000743486,37.66042669
0.019,0.000783711,24.24363062
0.02,0.000759456,26.33463953
0.025,0.000771789,32.39227302
0.06,0.000733877,81.75756973
0.058,0.000784062,73.97374187
0.023,0.000764465,30.08640029
0.022,0.000768032,28.64463981
0.032,0.000779603,41.04653266
0.02,0.000780646,25.61980719
0.017,0.000789963,21.51999524
0.031,0.000750739,41.29264631
0.025,0.000737946,33.87781762
0.088,0.000754096,116.6960175
0.021,0.000765237,27.4424786
0.032,0.000791637,40.42256741
