Size (Kb),Time (s),Throughput (Kb/s)
0.208,0.000802526,259.181634
0.008,0.000757842,10.5562901
0.016,0.000739327,21.64130351
0.013,0.000729519,17.81996082
0.007,0.000714741,9.793757459
0.019,0.000764976,24.83738052
0.023,0.000738877,31.12832041
0.012,0.00074589,16.08816313
0.021,0.00075143,27.94671493
0.008,0.00070352,11.37138958
0.363,0.000782739,463.7561179
0.02,0.000772069,25.90442046
0.372,0.000786356,473.0681778
0.151,0.000692569,218.0288173
0.019,0.000752712,25.24205805
1.575,0.000853151,1846.097584
0.083,0.000739719,112.2047696
0.009,0.000699623,12.86407108
0.581,0.000858542,676.7286865
0.486,0.000768092,632.7367034
0.019,0.000691719,27.46780123
0.028,0.000707067,39.60020762
0.023,0.00069806,32.94845715
0.007,0.000695997,10.05751462
0.011,0.000774193,14.2083434
0.241,0.000781086,308.5447697
0.005,0.000781116,6.401097916
0.053,0.000811683,65.2964273
0.004,0.000761379,5.25362533
0.004,0.000750388,5.330575649
0.005,0.000698862,7.154488297
0.005,0.000737935,6.775664523
0.434,0.000769895,563.7132336
0.057,0.000719991,79.16765626
0.03,0.000705354,42.53183508
0.005,0.000732945,6.821794268
0.021,0.000722185,29.07842173
0.004,0.000697199,5.737242882
0.037,0.000749236,49.3836388
0.002,0.000736152,2.71683022
0.006,0.000738516,8.124400825
0.084,0.000761349,110.3304792
0.004,0.000741993,5.390886437
0.001,0.000761158,1.313787676
0.331,0.000738476,448.220389
0.154,0.000749847,205.3752299
0.086,0.000772881,111.2719811
0.004,0.000766618,5.217722516
0.094,0.000741642,126.7457884
0.089,0.000791756,112.4083682
0.008,0.000747002,10.70947601
0.053,0.000721414,73.46683042
0.006,0.000772329,7.768709967
0.012,0.000752222,15.95273736
0.147,0.000754356,194.8682055
0.042,0.000797657,52.65421102
0.014,0.000726053,19.28233889
0.167,0.000806724,207.0100803
0.057,0.000716966,79.5016779
0.407,0.000747222,544.6841769
0.005,0.000712727,7.015308807
0.007,0.000723047,9.681251703
0.005,0.000681039,7.341723455
0.004,0.000694814,5.756936389
0.03,0.000739358,40.57574274
0.164,0.000733767,223.5041914
0.029,0.00075146,38.5915418
0.015,0.000738185,20.32010946
0.009,0.000714541,12.59549837
0.005,0.000699493,7.148034362
0.156,0.000754466,206.768761
0.828,0.000792497,1044.798908
0.004,0.000723578,5.528084049
0.004,0.00073547,5.438699063
0.004,0.000721805,5.541662914
0.008,0.000919205,8.70317285
0.139,0.000752392,184.7441227
0.015,0.000739507,20.28378366
0.177,0.000735941,240.5084103
0.005,0.000699833,7.144561631
0.01,0.000721304,13.86378004
0.097,0.000730621,132.7637722
0.003,0.000717436,4.181557658
0.019,0.000684324,27.76462611
0.004,0.000716504,5.582662483
0.018,0.00071944,25.01945958
1.851,0.000893988,2070.497591
0.042,0.000705073,59.56830002
0.008,0.00071936,11.12099644
0.012,0.000730141,16.4351817
0.011,0.00070358,15.6343273
0.005,0.000733997,6.812016943
0.013,0.000716154,18.15252027
0.016,0.000716555,22.32906057
0.006,0.000720081,8.332395939
0.113,0.000732665,154.23147
0.458,0.000787038,581.9286998
0.007,0.000761399,9.193602828
0.004,0.00073501,5.442102829
0.155,0.000773111,200.488675
0.018,0.000759495,23.69995853
0.053,0.000720422,73.56799209
0.031,0.000738486,41.97777615
0.023,0.000733848,31.34164023
0.01,0.00075131,13.31008505
0.053,0.0007885,67.21623335
0.025,0.000782127,31.96411836
0.166,0.000755628,219.6848185
0.005,0.000762641,6.556164696
0.03,0.000707287,42.4155965
0.015,0.000729659,20.55754811
0.069,0.000717486,96.16912386
0.074,0.00076175,97.14473252
1.119,0.000826922,1353.211065
0.044,0.000762131,57.73285695
2.049,0.000935876,2189.392612
0.023,0.000757252,30.3729802
0.027,0.000715253,37.74888047
0.005,0.000778061,6.426231362
0.019,0.000726483,26.15339932
0.008,0.000732284,10.92472319
0.888,0.000802916,1105.968744
0.01,0.000732475,13.65234308
0.014,0.000912663,15.33972562
0.041,0.000742714,55.20294488
0.16,0.000752552,212.6098927
0.256,0.000811223,315.5729066
0.868,0.000780355,1112.314267
0.011,0.000711064,15.46977487
0.701,0.000780024,898.6902967
1.954,0.000824066,2371.1693
0.009,0.00076176,11.8147448
0.018,0.000733637,24.5352947
0.005,0.000786516,6.357149759
0.005,0.000728157,6.866651011
0.002,0.000803017,2.490607297
1.49,0.00086296,1726.61537
0.045,0.000725141,62.05689652
0.008,0.000692119,11.55870595
0.013,0.000712498,18.24566525
0.018,0.00076189,23.62545774
0.643,0.000786716,817.3216256
0.095,0.000717677,132.3715265
0.004,0.00074051,5.401682624
0.193,0.000745289,258.9599471
0.03,0.00074613,40.20747055
0.17,0.000750979,226.3711768
0.009,0.000743054,12.11217489
0.084,0.000703931,119.3298775
4.338,0.001096678,3955.582222
0.198,0.000716144,276.4807078
0.035,0.00071425,49.00245012
0.082,0.000750268,109.2942788
2.085,0.000877126,2377.081514
2.014,0.000835579,2410.304711
0.107,0.000763783,140.0921466
0.004,0.000701236,5.704213703
0.001,0.000720532,1.387863412
0.018,0.000744167,24.18811906
0.043,0.00071369,60.25024871
0.26,0.000701998,370.3714256
0.009,0.000731643,12.30108127
0.026,0.000703009,36.9838793
0.027,0.000941147,28.68839831
0.017,0.000722887,23.51681521
0.911,0.000817584,1114.258596
0.006,0.000690847,8.684991033
0.067,0.000722576,92.72381037
0.039,0.000727966,53.57393065
1.46,0.000817314,1786.339155
0.271,0.000763684,354.858816
0.009,0.000749106,12.01432107
0.006,0.00069839,8.591188305
0.021,0.000732445,28.67109476
0.005,0.000706566,7.076479763
0.006,0.000725221,8.273340127
0.014,0.000748696,18.6991783
0.098,0.000748504,130.927824
0.227,0.000749897,302.7082386
2.011,0.000840698,2392.059931
0.579,0.000809258,715.4702209
0.07,0.000692179,101.12991
1.842,0.000917472,2007.690698
0.007,0.000732825,9.552075871
0.008,0.000718328,11.13697364
0.611,0.000835828,731.0116435
0.057,0.000779313,73.14134372
0.466,0.000793549,587.2353188
0.03,0.000747373,40.14059914
0.018,0.000691698,26.02291752
0.004,0.000710704,5.628222157
0.097,0.000736723,131.6641397
0.01,0.000712788,14.02941688
0.022,0.000779754,28.21402648
0.067,0.000747783,89.59818557
0.391,0.000773902,505.2319286
0.76,0.000787829,964.6763447
0.012,0.000723888,16.57715006
0.009,0.000770806,11.6760897
0.006,0.000742674,8.07891484
0.827,0.00076224,1084.960118
0.008,0.000740159,10.80848845
0.024,0.000812866,29.52516159
0.007,0.000725973,9.642231874
0.09,0.000699122,128.7328964
0.019,0.000723007,26.27913699
0.006,0.000710203,8.448288729
0.021,0.000718177,29.2407025
0.004,0.000757982,5.27717017
0.017,0.000759565,22.38123136
0.008,0.000724059,11.04882337
0.018,0.000695556,25.87857771
0.008,0.000721514,11.08779594
0.197,0.000738275,266.8382378
0.005,0.000730571,6.843961778
0.011,0.00073532,14.95947343
0.004,0.0007246,5.520287055
0.006,0.000736893,8.142294743
0.108,0.000903175,119.5781548
0.079,0.000762782,103.5682541
0.095,0.000728347,130.4323351
0.397,0.000767561,517.2227354
0.095,0.000769534,123.4513355
0.044,0.000715904,61.46075451
0.003,0.000745058,4.026532163
0.003,0.000741963,4.043328306
0.026,0.000714871,36.37019826
0.007,0.000734609,9.528878628
0.022,0.000748464,29.39353129
0.015,0.000733066,20.46200479
0.007,0.000716615,9.768146076
0.026,0.000725662,35.82935306
1.092,0.000777409,1404.666012
0.005,0.000708871,7.053469531
0.009,0.000686268,13.11441011
0.011,0.000762481,14.42658899
0.272,0.000760297,357.75493
0.047,0.000761409,61.72766542
0.016,0.000796084,20.09838158
0.118,0.000738567,159.7688497
0.003,0.00070852,4.234178287
0.012,0.000729819,16.44243299
0.09,0.000747112,120.4638662
0.003,0.000702879,4.268159954
0.033,0.000717026,46.02343569
0.261,0.000763563,341.8185533
0.011,0.000732013,15.02705553
0.015,0.000747482,20.06737286
1.739,0.000873479,1990.889306
1.93,0.000899718,2145.116581
0.036,0.000960963,37.46242051
0.195,0.000742383,262.6676527
0.071,0.000774694,91.64908983
0.004,0.000707498,5.65372623
0.079,0.000711365,111.0541002
0.055,0.000722386,76.13658072
1.648,0.000853973,1929.803401
0.242,0.000750118,322.6159084
0.011,0.000759635,14.48063873
0.023,0.00078813,29.1830028
0.011,0.000741902,14.82675609
0.038,0.000724459,52.45293384
0.004,0.000730381,5.476593723
0.978,0.000852249,1147.551948
0.007,0.000755187,9.269227357
0.098,0.000804811,121.7677194
0.046,0.000769925,59.74607916
0.004,0.000866917,4.614051864
0.04,0.000720802,55.49374169
3.166,0.001009244,3137.001558
0.01,0.000752191,13.29449568
0.153,0.000779674,196.2358627
0.235,0.000739368,317.8390193
0.015,0.00072458,20.70164785
0.058,0.00071425,81.2040602
0.008,0.000721805,11.08332583
0.291,0.000760708,382.5383721
0.031,0.000736212,42.10743644
0.009,0.000738115,12.19322192
0.605,0.000782519,773.1441665
0.697,0.000786396,886.321904
0.03,0.000762231,39.35814733
0.022,0.000731613,30.07054276
0.045,0.000734789,61.24207085
0.015,0.000728437,20.59203473
0.018,0.000729549,24.67277729
0.008,0.000729409,10.96778351
0.012,0.000723207,16.59275975
0.126,0.000749587,168.092563
0.021,0.000729269,28.79595869
0.015,0.000754596,19.87818647
0.016,0.000755267,21.18456122
0.007,0.000752953,9.296729012
0.01,0.000753404,13.2730912
0.046,0.00072496,63.45177665
0.02,0.000741081,26.98760324
0.019,0.000720262,26.37928976
0.016,0.00072496,22.07018318
