Size (Kb),Time (s),Throughput (Kb/s)
111.766,0.009297115,12021.57874
2916.684,0.215525116,13532.91929
369.704,0.027820405,13288.95104
1262.326,0.092456517,13653.18575
0.211,0.000794163,265.6885299
0.269,0.000791258,339.9649672
177.475,0.014475758,12260.15246
4.327,0.001229288,3519.923728
0.003,0.00077036,3.894283192
0.668,0.000818517,816.1101113
203.918,0.016002823,12742.62672
91.048,0.007748881,11749.82556
175.513,0.014035303,12505.10944
123.195,0.009933453,12402.0318
497.096,0.036786383,13513.04367
490.089,0.036163089,13552.18853
270.214,0.021530457,12550.31419
56.068,0.005356445,10467.39022
1060.64,0.077890566,13617.05344
2725.542,0.201916001,13498.39531
0.038,0.00082015,46.33298787
122.161,0.010168637,12013.50781
298.753,0.022860266,13068.65808
2560.012,0.19615686,13050.84105
361.902,0.027606019,13109.53238
0.019,0.000793952,23.93091774
149.735,0.012466122,12011.35365
638.625,0.050271643,12703.48375
461.447,0.036221103,12739.728
362.674,0.027734671,13076.55678
0.891,0.000763438,1167.08888
4.326,0.00126911,3408.687978
658.762,0.049757927,13239.33772
0.004,0.000903941,4.425067565
742.616,0.055810277,13306.07981
0.025,0.000759551,32.91418219
0.445,0.000745836,596.6459114
557.281,0.041916388,13295.06254
2091.815,0.156467018,13369.04753
1.649,0.000804101,2050.737407
234.668,0.018438177,12727.2886
567.205,0.041821618,13562.4834
905.157,0.066119738,13689.66405
0.026,0.00213966,12.15146332
1377.38,0.101018855,13634.88034
1647.19,0.124760422,13202.82485
924.444,0.068086988,13577.39602
119.14,0.01004279,11863.23721
3.335,0.001325161,2516.675332
54.467,0.005124967,10627.77575
390.817,0.029867299,13085.11359
208.767,0.016375596,12748.66576
161.53,0.012899905,12521.79764
831.14,0.061752538,13459.2039
424.186,0.031408249,13505.56027
23.022,0.003597952,6398.640115
351.639,0.026488011,13275.40222
932.218,0.069637545,13386.71546
2624.131,0.194528622,13489.69099
0.096,0.000918607,104.5060619
115.025,0.009410108,12223.5579
0.008,0.00081986,9.757763521
359.817,0.027831285,12928.50833
825.688,0.061652518,13392.60791
0.034,0.000795756,42.72666496
0.003,0.000816614,3.673706304
1151.371,0.0882457,13047.33262
404.187,0.032066497,12604.65089
931.363,0.068843442,13528.71055
1057.714,0.080648452,13115.11844
155.18,0.013089196,11855.57921
1724.732,0.131625117,13103.36537
163.26,0.013086852,12475.11625
0.001,0.000836951,1.194813077
404.292,0.03127041,12928.89988
0.001,0.000850735,1.175454166
494.956,0.036962972,13390.58991
0.003,0.000810863,3.699761859
0.015,0.000819689,18.29962339
415.263,0.031950969,12996.88282
682.493,0.050412228,13538.24314
0.763,0.000927704,822.4606124
2218.753,0.163070113,13606.12904
0.008,0.000835868,9.570889183
3621.52,0.266424883,13593.02464
969.049,0.073411353,13200.26073
181.445,0.014628093,12403.87247
4626.407,0.334444519,13833.10755
509.547,0.038852681,13114.84785
6.791,0.001682296,4036.74502
223.41,0.0181402,12315.74073
56.657,0.00580272,9763.869358
3.635,0.002458325,1478.64908
3999.943,0.294299015,13591.42503
119.681,0.010079887,11873.24818
16.316,0.002377419,6862.904688
332.623,0.025146481,13227.41739
3266.28,0.244105382,13380.61444
0.002,0.001684729,1.187134548
81.601,0.0069889,11675.8002
2716.374,0.201046703,13511.15915
875.492,0.065005478,13467.97265
973.302,0.07345324,13250.63401
1237.478,0.090769833,13633.14175
1997.324,0.150561794,13265.80899
962.884,0.071393353,13487.02589
0.658,0.001054583,623.9433027
4709.239,0.34897736,13494.39689
0.004,0.00184046,2.173369701
0.015,0.000817124,18.35706698
897.847,0.066217344,13559.0911
106.419,0.00887347,11992.94075
2251.233,0.166307003,13536.60976
337.607,0.025630745,13171.95423
522.279,0.038971395,13401.59879
0.008,0.000816022,9.803657254
0.001,0.000811344,1.232522826
1637.208,0.118963793,13762.23773
238.925,0.018189349,13135.43437
782.179,0.059249502,13201.44429
0.061,0.00092043,66.27337223
1075.085,0.079898548,13455.62625
168.406,0.013391722,12575.38052
4077.594,0.313002631,13027.34736
0.065,0.000734675,88.47449553
2032.855,0.153506067,13242.83163
1109.185,0.082541037,13437.98237
337.9,0.025724554,13135.31033
973.795,0.072766701,13382.42612
288.739,0.022138163,13042.59075
260.233,0.020360907,12781.01216
882.733,0.066369799,13300.22108
870.12,0.067930285,12809.01442
0.69,0.000902057,764.9184032
573.824,0.043102038,13313.15239
892.606,0.066777565,13366.85457
2638.313,0.203584622,12959.29415
1227.677,0.091080945,13478.96643
463.441,0.035690015,12985.17246
287.621,0.022055024,13041.06493
1.017,0.000906285,1122.163558
77.591,0.006460647,12009.78787
532.648,0.040150031,13266.44057
6.81,0.001359734,5008.332512
0.001,0.000866794,1.153676652
1.414,0.001024389,1380.335009
0.002,0.000862466,2.318931993
614.212,0.046245069,13281.6755
0.002,0.000807507,2.476758715
2347.187,0.171339092,13699.07458
612.913,0.045696168,13412.7877
302.463,0.023431446,12908.4223
227.445,0.01780807,12772.01853
773.051,0.058778313,13151.97665
0.685,0.000902649,758.8774817
0.012,0.000743552,16.13875022
712.32,0.053980706,13195.82593
401.063,0.030604489,13104.71153
663.605,0.050188954,13222.1325
0.321,0.000880108,364.7279652
1043.351,0.078108208,13357.76389
0.001,0.000812716,1.230442122
1265.288,0.094515111,13387.15034
419.52,0.031912269,13146.0411
1547.727,0.115006483,13457.73699
0.004,0.000803269,4.979651897
0.091,0.001015201,89.63742155
0.347,0.000994434,348.9422124
307.898,0.023947036,12857.4576
0.167,0.00084852,196.8132749
0.005,0.000811204,6.163677694
0.059,0.000821692,71.80306003
0.006,0.000798852,7.510777966
221.11,0.017504201,12631.82478
347.084,0.026817215,12942.58185
0.002,0.001841927,1.085819362
1330.526,0.098051847,13569.6169
73.833,0.006534006,11299.80597
631.839,0.04748215,13306.87427
474.44,0.036059767,13157.04563
1284.053,0.094805721,13544.04551
0.002,0.000816583,2.449230513
1225.065,0.090925028,13473.35301
1.369,0.001087481,1258.872569
3.536,0.000998825,3540.159688
156.059,0.012165293,12828.21548
153.461,0.012357854,12418.0946
7.832,0.001568473,4993.391662
0.464,0.001010546,459.1577227
591.117,0.044222611,13366.84982
956.662,0.071991823,13288.48139
1951.584,0.143964919,13555.96915
2596.84,0.191669186,13548.55235
0.354,0.000907303,390.1673421
114.817,0.009441391,12161.02585
47.2,0.00457118,10325.56145
1.025,0.000918474,1115.981508
44.891,0.00396353,11326.01494
585.164,0.043795881,13361.16517
429.907,0.032667725,13159.99201
1769.643,0.132258929,13380.1401
1.466,0.000933452,1570.514606
0.005,0.000840938,5.945741541
223.48,0.017287076,12927.57665
2044.484,0.150470901,13587.23837
697.789,0.052362639,13326.08542
1729.62,0.128668119,13442.49075
119.207,0.010820549,11016.72383
3366.311,0.255152559,13193.32643
0.066,0.000844766,78.12814436
698.937,0.052215624,13385.59126
2892.64,0.212978972,13581.81032
622.521,0.047831184,13014.96112
525.022,0.040083964,13098.05587
1362.684,0.103833076,13123.79496
263.153,0.020228357,13009.11389
422.383,0.032419027,13028.86111
0.286,0.000813757,351.4562701
1010.894,0.077303112,13077.01558
345.495,0.027128638,12735.43478
595.121,0.044688436,13317.11407
473.905,0.035811515,13233.31336
634.879,0.047864237,13264.16213
0.001,0.001011759,0.988377667
6.398,0.001160578,5512.770361
3214.901,0.238579242,13475.19161
292.235,0.02276629,12836.30315
206.67,0.016469392,12548.73283
540.28,0.040668461,13284.9876
4.381,0.001368679,3200.896631
0.049,0.000843213,58.11105853
911.538,0.068470874,13312.78464
1.297,0.000954642,1358.62449
1641.587,0.123499056,13292.30403
460.574,0.036340828,12673.73435
542.773,0.046385121,11701.44625
1237.377,0.091233357,13562.76959
973.552,0.072823233,13368.70062
1181.488,0.099527364,11870.98656
1979.402,0.145909249,13565.98032
3296.265,0.242048653,13618.19188
844.631,0.062840315,13440.90971
0.023,0.000864683,26.59934334
674.719,0.050609389,13331.89381
119.998,0.009682413,12393.39822
81.955,0.006934546,11818.36561
2584.027,0.189017699,13670.82032
1129.778,0.083066298,13600.91911
984.454,0.07510244,13108.14935
1124.779,0.083969303,13395.12131
4.635,0.001408384,3291.005862
1021.182,0.077494921,13177.40552
